make,fuel-type,num-of-doors,body-style,drive-wheels,curb-weight,engine-size,highway-mpg,price
toyota,gas,four,sedan,fwd,2081,98,37,6938.0
toyota,gas,four,hatchback,fwd,2109,98,37,7198.0
toyota,diesel,four,sedan,fwd,2275,110,36,7898.0
toyota,diesel,four,hatchback,fwd,2275,110,47,7788.0
toyota,gas,four,sedan,fwd,2094,98,47,7738.0
toyota,gas,four,hatchback,fwd,2122,98,34,8358.0
toyota,gas,four,sedan,fwd,2140,98,34,9258.0
toyota,gas,two,sedan,rwd,2169,98,34,8058.0
toyota,gas,two,hatchback,rwd,2204,98,34,8238.0
toyota,gas,two,sedan,rwd,2265,98,29,9298.0
toyota,gas,two,hatchback,rwd,2300,98,29,9538.0
toyota,gas,two,hardtop,rwd,2540,146,30,8449.0
toyota,gas,two,hardtop,rwd,2536,146,30,9639.0
toyota,gas,two,hatchback,rwd,2551,146,30,9989.0
toyota,gas,two,hardtop,rwd,2679,146,30,11199.0
toyota,gas,two,hatchback,rwd,2714,146,30,11549.0
toyota,gas,two,convertible,rwd,2975,146,30,17669.0
toyota,gas,four,sedan,fwd,2326,122,34,8948.0
toyota,diesel,four,sedan,fwd,2480,110,33,10698.0
toyota,gas,four,hatchback,fwd,2414,122,32,9988.0
toyota,gas,four,sedan,fwd,2414,122,32,10898.0
toyota,gas,four,hatchback,fwd,2458,122,32,11248.0
toyota,gas,two,hatchback,rwd,2976,171,24,16558.0
toyota,gas,two,hatchback,rwd,3016,171,24,15998.0
toyota,gas,four,sedan,rwd,3131,171,24,15690.0
toyota,gas,four,wagon,rwd,3151,161,24,15750.0
volkswagen,diesel,two,sedan,fwd,2261,97,46,7775.0
volkswagen,gas,two,sedan,fwd,2209,109,34,7975.0
volkswagen,diesel,four,sedan,fwd,2264,97,46,7995.0
volkswagen,gas,four,sedan,fwd,2212,109,34,8195.0
volkswagen,gas,four,sedan,fwd,2275,109,34,8495.0
volkswagen,diesel,four,sedan,fwd,2319,97,42,9495.0
volkswagen,gas,four,sedan,fwd,2300,109,32,9995.0
volkswagen,gas,two,convertible,fwd,2254,109,29,11595.0
volkswagen,gas,two,hatchback,fwd,2221,109,29,9980.0
volkswagen,gas,four,sedan,fwd,2661,136,24,13295.0
volkswagen,diesel,four,sedan,fwd,2579,97,38,13845.0
volkswagen,gas,four,wagon,fwd,2563,109,31,12290.0
volvo,gas,four,sedan,rwd,2912,141,28,12940.0
volvo,gas,four,wagon,rwd,3034,141,28,13415.0
volvo,gas,four,sedan,rwd,2935,141,28,15985.0
volvo,gas,four,wagon,rwd,3042,141,28,16515.0
volvo,gas,four,sedan,rwd,3045,130,22,18420.0
volvo,gas,four,wagon,rwd,3157,130,22,18950.0
volvo,gas,four,sedan,rwd,2952,141,28,16845.0
volvo,gas,four,sedan,rwd,3049,141,25,19045.0
volvo,gas,four,sedan,rwd,3012,173,23,21485.0
volvo,diesel,four,sedan,rwd,3217,145,27,22470.0
volvo,gas,four,sedan,rwd,3062,141,25,22625.0
